Title,Author,Publisher,Week on besteller list,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE HEIST, by Daniel Silva, Harper,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOOK OF LIFE, by Deborah Harkness, Viking,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE LOST ISLAND, by Douglas Preston and Lincoln Child, Grand Central,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE MAGICIAN'S LAND, by Lev Grossman, Viking,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
TOM CLANCY: SUPPORT AND DEFEND, by Mark Greaney, Putnam,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SILKWORM, by Robert Galbraith, Mulholland/Little Brown,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
FOOL'S ASSASSIN, by Robin Hobb, Del Rey,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
WRITTEN IN MY OWN HEART'S BLOOD, by Diana Gabaldon, Delacorte,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE HUSBAND'S SECRET, by Liane Moriarty, Amy Einhorn/Putnam,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
A PERFECT LIFE, by Danielle Steel, Delacorte,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE, by Haruki Murakami, Knopf,9/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
ADULTERY, by Paulo Coelho, Knopf,9/7/14,,,,,,, ù,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,9/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,9/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
MEAN STREAK, by Sandra Brown, Grand Central,9/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
WE ARE NOT OURSELVES, by Matthew Thomas, Simon & Schuster,9/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,9/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE HEIST, by Daniel Silva, Harper,9/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE 6TH EXTINCTION, by James Rollins, Morrow/HarperCollins,9/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
LOVE LETTERS, by Debbie Macomber, Ballantine,9/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOOK OF LIFE, by Deborah Harkness, Viking,9/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
WINDIGO ISLAND, by William Kent Krueger, Atria,9/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SILKWORM, by Robert Galbraith, Mulholland/Little Brown,9/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE LOST ISLAND, by Douglas Preston and Lincoln Child, Grand Central,9/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
TOM CLANCY: SUPPORT AND DEFEND, by Mark Greaney, Putnam,9/7/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE LONG WAY HOME, by Louise Penny, Minotaur,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE, by Haruki Murakami, Knopf,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BROKEN EYE, by Brent Weeks, Orbit,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
ADULTERY, by Paulo Coelho, Knopf,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
MEAN STREAK, by Sandra Brown, Grand Central,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
WE ARE NOT OURSELVES, by Matthew Thomas, Simon & Schuster,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE 6TH EXTINCTION, by James Rollins, Morrow/HarperCollins,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOOK OF LIFE, by Deborah Harkness, Viking,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE HUSBAND'S SECRET, by Liane Moriarty, Amy Einhorn/Putnam,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE INVENTION OF WINGS, by Sue Monk Kidd, Viking,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
HEROES ARE MY WEAKNESS, by Susan Elizabeth Phillips, Morrow/HarperCollins,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE LOST ISLAND, by Douglas Preston and Lincoln Child, Grand Central,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
WRITTEN IN MY OWN HEART'S BLOOD, by Diana Gabaldon, Delacorte,9/14/14,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONAL, by Lee Child, Delacorte,9/21/14,,,,,,,,,,,,,,,,,,,,,,,,,
