Title,Author,Publisher,Week on besteller list,,,,,,,,,,,,,,,,,,,,,,,,,
THE STRANGER, by Harlan Coben, Dutton,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
DEATH WEARS A BEAUTY MASK AND OTHER STORIES, by Mary Higgins Clark, Simon & Schuster,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
EVERY FIFTEEN MINUTES, by Lisa Scottoline, St Martin's,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
A SPOOL OF BLUE THREAD, by Anne Tyler, Knopf,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
MY STRUGGLE: BOOK FOUR, by Karl Ove Knausgaard, Archipelago,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
14TH DEADLY SIN, by James Patterson and Maxine Paetro, Little Brown,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
MEMORY MAN, by David Baldacci, Grand Central,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
GATHERING PREY, by John Sandford, Putnam,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
A GOD IN RUINS, by Kate Atkinson, Little Brown,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BONE TREE, by Greg Iles, Morrow/HarperCollins,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
GOD HELP THE CHILD, by Toni Morrison, Knopf,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE LIAR, by Nora Roberts, Putnam,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
ROCK WITH WINGS, by Anne Hillerman, Harper/HarperCollins,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
AT THE WATER'S EDGE, by Sara Gruen, Spiegel & Grau,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
EVERY FIFTEEN MINUTES, by Lisa Scottoline, St Martin's,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
A SPOOL OF BLUE THREAD, by Anne Tyler, Knopf,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
DAY SHIFT, by Charlaine Harris, Ace,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
DEATH WEARS A BEAUTY MASK AND OTHER STORIES, by Mary Higgins Clark, Simon & Schuster,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,5/24/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
14TH DEADLY SIN, by James Patterson and Maxine Paetro, Little Brown,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
MEMORY MAN, by David Baldacci, Grand Central,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
DRY BONES, by Craig Johnson, Viking,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
GATHERING PREY, by John Sandford, Putnam,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
A GOD IN RUINS, by Kate Atkinson, Little Brown,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FORGOTTEN ROOM, by Lincoln Child, Doubleday,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BONE TREE, by Greg Iles, Morrow/HarperCollins,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
GOD HELP THE CHILD, by Toni Morrison, Knopf,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKIEST GIRL ALIVE, by Jessica Knoll, Simon & Schuster,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
SOLITUDE CREEK, by Jeffery Deaver, Grand Central,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
AT THE WATER'S EDGE, by Sara Gruen, Spiegel & Grau,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE LIAR, by Nora Roberts, Putnam,5/31/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
SEVENEVES, by Neal Stephenson, Morrow/HarperCollins,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
MEMORY MAN, by David Baldacci, Grand Central,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
14TH DEADLY SIN, by James Patterson and Maxine Paetro, Little Brown,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
BEACH TOWN, by Mary Kay Andrews, St Martin's,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
GATHERING PREY, by John Sandford, Putnam,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE SCARLET GOSPELS, by Clive Barker, St Martin's,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
ROBERT B PARKER'S KICKBACK, by Ace Atkins, Putnam,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FORGOTTEN ROOM, by Lincoln Child, Doubleday,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKIEST GIRL ALIVE, by Jessica Knoll, Simon & Schuster,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
DRY BONES, by Craig Johnson, Viking,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
GOD HELP THE CHILD, by Toni Morrison, Knopf,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BONE TREE, by Greg Iles, Morrow/HarperCollins,6/7/15,,,,,,,,,,,,,,,,,,,,,,,,,
RADIANT ANGEL, by Nelson DeMille, Grand Central,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
PIRANHA, by Clive Cussler and Boyd Morrison, Putnam,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
SEVENEVES, by Neal Stephenson, Morrow/HarperCollins,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
MEMORY MAN, by David Baldacci, Grand Central,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
14TH DEADLY SIN, by James Patterson and Maxine Paetro, Little Brown,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
MAKE SOMETHING UP, by Chuck Palahniuk, Doubleday,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
OUR SOULS AT NIGHT, by Kent Haruf, Knopf,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
BEACH TOWN, by Mary Kay Andrews, St Martin's,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
GATHERING PREY, by John Sandford, Putnam,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKIEST GIRL ALIVE, by Jessica Knoll, Simon & Schuster,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
GOD HELP THE CHILD, by Toni Morrison, Knopf,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FORGOTTEN ROOM, by Lincoln Child, Doubleday,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE WATER KNIFE, by Paolo Bacigalupi, Knopf,6/14/15,,,,,,,,,,,,,,,,,,,,,,,,,
FINDERS KEEPERS, by Stephen King, Scribner,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
IN THE UNLIKELY EVENT, by Judy Blume, Knopf,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
RADIANT ANGEL, by Nelson DeMille, Grand Central,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
MEMORY MAN, by David Baldacci, Grand Central,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
SEVENEVES, by Neal Stephenson, Morrow/HarperCollins,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
14TH DEADLY SIN, by James Patterson and Maxine Paetro, Little Brown,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
PIRANHA, by Clive Cussler and Boyd Morrison, Putnam,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FATEFUL LIGHTNING, by Jeff Shaara, Ballantine,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKIEST GIRL ALIVE, by Jessica Knoll, Simon & Schuster,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
OUR SOULS AT NIGHT, by Kent Haruf, Knopf,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
BEACH TOWN, by Mary Kay Andrews, St Martin's,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
PALACE OF TREASON, by Jason Matthews, Scribner,6/21/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
FINDERS KEEPERS, by Stephen King, Scribner,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
IN THE UNLIKELY EVENT, by Judy Blume, Knopf,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
RADIANT ANGEL, by Nelson DeMille, Grand Central,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE SINGLE LADIES, by Dorothea Benton Frank, Morrow/HarperCollins,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
DEAD ICE, by Laurell K Hamilton, Berkley,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKIEST GIRL ALIVE, by Jessica Knoll, Simon & Schuster,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
MEMORY MAN, by David Baldacci, Grand Central,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
14TH DEADLY SIN, by James Patterson and Maxine Paetro, Little Brown,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
SEVENEVES, by Neal Stephenson, Morrow/HarperCollins,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
OUR SOULS AT NIGHT, by Kent Haruf, Knopf,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FIXER, by Joseph Finder, Dutton,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
PIRANHA, by Clive Cussler and Boyd Morrison, Putnam,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FATEFUL LIGHTNING, by Jeff Shaara, Ballantine,6/28/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
FINDERS KEEPERS, by Stephen King, Scribner,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
TOM CLANCY UNDER FIRE, by Grant Blackwood, Putnam,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE PRESIDENT'S SHADOW, by Brad Meltzer, Grand Central,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE RUMOR, by Elin Hilderbrand, Little Brown,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
RADIANT ANGEL, by Nelson DeMille, Grand Central,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY, by Danielle Steel, Delacorte,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
IN THE UNLIKELY EVENT, by Judy Blume, Knopf,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
MEMORY MAN, by David Baldacci, Grand Central,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE SINGLE LADIES, by Dorothea Benton Frank, Morrow/HarperCollins,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKIEST GIRL ALIVE, by Jessica Knoll, Simon & Schuster,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FATEFUL LIGHTNING, by Jeff Shaara, Ballantine,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
14TH DEADLY SIN, by James Patterson and Maxine Paetro, Little Brown,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
OUR SOULS AT NIGHT, by Kent Haruf, Knopf,7/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
TRUTH OR DIE, by James Patterson and Howard Roughan, Little Brown,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
FINDERS KEEPERS, by Stephen King, Scribner,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
IN THE UNLIKELY EVENT, by Judy Blume, Knopf,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE MELODY LINGERS ON, by Mary Higgins Clark, Simon & Schuster,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
WICKED CHARMS, by Janet Evanovich and Phoef Sutton, Bantam,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
TOM CLANCY UNDER FIRE, by Grant Blackwood, Putnam,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE RUMOR, by Elin Hilderbrand, Little Brown,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE PRESIDENT'S SHADOW, by Brad Meltzer, Grand Central,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
RADIANT ANGEL, by Nelson DeMille, Grand Central,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY, by Danielle Steel, Delacorte,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKIEST GIRL ALIVE, by Jessica Knoll, Simon & Schuster,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
MEMORY MAN, by David Baldacci, Grand Central,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE SINGLE LADIES, by Dorothea Benton Frank, Morrow/HarperCollins,7/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ENGLISH SPY, by Daniel Silva, Harper,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
TRUTH OR DIE, by James Patterson and Howard Roughan, Little Brown,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
FINDERS KEEPERS, by Stephen King, Scribner,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE RUMOR, by Elin Hilderbrand, Little Brown,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
IN THE UNLIKELY EVENT, by Judy Blume, Knopf,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE MELODY LINGERS ON, by Mary Higgins Clark, Simon & Schuster,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
TOM CLANCY UNDER FIRE, by Grant Blackwood, Putnam,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
WICKED CHARMS, by Janet Evanovich and Phoef Sutton, Bantam,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE PRESIDENT'S SHADOW, by Brad Meltzer, Grand Central,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY, by Danielle Steel, Delacorte,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKIEST GIRL ALIVE, by Jessica Knoll, Simon & Schuster,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
RADIANT ANGEL, by Nelson DeMille, Grand Central,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE LITTLE PARIS BOOKSHOP, by Nina George, Crown,7/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
CODE OF CONDUCT, by Brad Thor, Emily Bestler/Atria,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ENGLISH SPY, by Daniel Silva, Harper,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
NEMESIS, by Catherine Coulter, Putnam,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
TRUTH OR DIE, by James Patterson and Howard Roughan, Little Brown,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
FINDERS KEEPERS, by Stephen King, Scribner,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKIEST GIRL ALIVE, by Jessica Knoll, Simon & Schuster,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE RUMOR, by Elin Hilderbrand, Little Brown,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE MELODY LINGERS ON, by Mary Higgins Clark, Simon & Schuster,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
IN THE UNLIKELY EVENT, by Judy Blume, Knopf,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
TOM CLANCY UNDER FIRE, by Grant Blackwood, Putnam,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE PRESIDENT'S SHADOW, by Brad Meltzer, Grand Central,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE LITTLE PARIS BOOKSHOP, by Nina George, Crown,7/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
GO SET A WATCHMAN, by Harper Lee, (Harper),8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, (Riverhead),8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, (Scribner),8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
ARMADA, by Ernest Cline, (Crown),8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ENGLISH SPY, by Daniel Silva, (Harper),8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
CODE OF CONDUCT, by Brad Thor, (Emily Bestler/Atria),8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
NAKED GREED, by Stuart Woods, (Putnam),8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, (St Martin's),8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE RUMOR, by Elin Hilderbrand, (Little,8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
NEMESIS, by Catherine Coulter, (Putnam),8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
TRUTH OR DIE, by James Patterson and Howard Roughan, (Little,8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKIEST GIRL ALIVE, by Jessica Knoll, (Simon & Schuster),8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
FINDERS KEEPERS, by Stephen King, (Scribner),8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
IN THE UNLIKELY EVENT, by Judy Blume, (Knopf),8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE CARTEL, by Don Winslow, (Knopf),8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE LITTLE PARIS BOOKSHOP, by Nina George, (Crown),8/2/15,,,,,,,,,,,,,,,,,,,,,,,,,
GO SET A WATCHMAN, by Harper Lee, (Harper),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, (Riverhead),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, (Scribner),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ENGLISH SPY, by Daniel Silva, (Harper),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
CODE OF CONDUCT, by Brad Thor, (Emily Bestler/Atria),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
ARMADA, by Ernest Cline, (Crown),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
SPEAKING IN BONES, by Kathy Reichs, (Bantam),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, (St Martin's),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE RUMOR, by Elin Hilderbrand, (Little,8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKIEST GIRL ALIVE, by Jessica Knoll, (Simon & Schuster),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE LITTLE PARIS BOOKSHOP, by Nina George, (Crown),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
IN THE UNLIKELY EVENT, by Judy Blume, (Knopf),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
FINDERS KEEPERS, by Stephen King, (Scribner),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE CARTEL, by Don Winslow, (Knopf),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
NEMESIS, by Catherine Coulter, (Putnam),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
NAKED GREED, by Stuart Woods, (Putnam),8/9/15,,,,,,,,,,,,,,,,,,,,,,,,,
GO SET A WATCHMAN, by Harper Lee,(Harper.),8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins. ,(Riverhead.),8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. ,(Scribner.) ,8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
CIRCLING THE SUN, by Paula Mclain, (Ballantine.),8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
BADLANDS, by C. J. Box. ,(Minotaur.) ,8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ENGLISH SPY, by Daniel Silva. ) Gabriel Allon,(Harper.),8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
CODE OF CONDUCT, by Brad Thor., (Emily Bestler/Atria.),8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah.  Two sisters in World War II France: one struggling to survive in the countryside,(St. Martin's.),8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
ARMADA, by Ernest Cline.  ,(Crown.),8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKIEST GIRL ALIVE, by Jessica Knoll,(Simon & Schuster.),8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE RUMOR, by Elin Hilderbrand. , (Little Brown.),8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
SPEAKING IN BONES, by Kathy Reichs.,(Bantam.),8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE LITTLE PARIS BOOKSHOP, by Nina George.  ,(Crown.),8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOURBON KINGS, by  J.R. Ward. ,(NAL.),8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
FINDERS KEEPERS, by Stephen King,(Scribner.),8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
TRUTH OR DIE, by James Patterson and Howard Roughan., (Little Brown.),8/16/15,,,,,,,,,,,,,,,,,,,,,,,,,
